time,instance,orders,time,averager_per_truck
2024-04-12.16:02:33,./INPUT/05.txt,166,683064,8.30
2024-04-12.16:02:28,./INPUT/05.txt,168,686201,8.40
2024-04-12.16:02:23,./INPUT/05.txt,171,687627,8.55
2024-04-12.16:02:38,./INPUT/05.txt,165,698670,8.25
2024-04-12.16:02:43,./INPUT/05.txt,167,690116,8.35
2024-04-12.16:02:48,./INPUT/05.txt,165,696559,8.25
2024-04-12.16:02:58,./INPUT/05.txt,171,697498,8.55
2024-04-12.16:02:53,./INPUT/05.txt,162,693642,8.10
2024-04-12.16:03:03,./INPUT/05.txt,169,687199,8.45
2024-04-12.16:27:57,./INPUT/05.txt,162,693251,8.10
2024-04-12.16:28:12,./INPUT/05.txt,164,685357,8.20
2024-04-12.16:28:07,./INPUT/05.txt,160,681596,8.00
2024-04-12.16:28:02,./INPUT/05.txt,163,675189,8.15
2024-04-12.16:28:17,./INPUT/05.txt,165,692797,8.25
2024-04-12.16:28:27,./INPUT/05.txt,161,681578,8.05
2024-04-12.16:28:32,./INPUT/05.txt,164,662603,8.20
2024-04-12.16:28:22,./INPUT/05.txt,162,675504,8.10
2024-04-12.16:28:42,./INPUT/05.txt,163,693474,8.15
2024-04-12.16:28:37,./INPUT/05.txt,163,684438,8.15
2024-04-12.16:33:13,./INPUT/05.txt,161,694175,8.05
2024-04-12.16:33:19,./INPUT/05.txt,160,681276,8.00
2024-04-12.16:33:11,./INPUT/05.txt,162,688032,8.10
